s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12
27582,27705,33183,34421,31966,30727,32414,22041,29368,32849,27423,31929
27009,27532,33341,34401,31965,30385,31861,22157,29308,33110,27151,30416
27037,27505,33331,34309,32019,29670,31036,22133,30995,33866,29604,29143
27129,27447,33367,34375,31989,29633,31300,23108,32025,34140,30018,29076
27547,27434,33387,34441,32049,29634,31515,24237,31861,34180,29999,28721
27360,27513,33384,34647,32117,29717,31840,22750,31582,34248,29887,28636
27606,27765,33092,35290,32593,30077,32626,22866,31072,34240,29117,28618
28080,27722,32906,35313,32545,30190,32990,23675,30644,34142,27274,28593
27910,27644,32928,35235,32341,30486,32723,23952,30964,34208,29158,28638
27783,27423,33127,34907,32183,30624,32555,25465,31543,34340,29504,28712
27567,27434,33280,34674,32158,30606,32581,25889,31675,34447,29884,28880
27448,27447,33345,34597,32146,30664,32830,27075,31744,34455,29364,29017
27890,27501,33367,34639,32141,30798,33747,30075,31830,34444,28923,29023
28273,27652,33789,35344,32226,30730,34179,31253,31688,34605,30455,29239
28402,27645,33939,35302,32330,29985,34688,31710,30547,35140,28428,29634
28352,27714,34207,35612,32366,29592,35149,30177,29902,34972,27919,30240
28457,27769,33943,35744,32326,29578,35317,29965,28322,34031,28465,32434
28306,27840,33897,35660,32290,30149,35390,28656,27418,32599,26064,34474
28138,27848,33709,35769,32196,30491,35449,26303,27404,32256,26010,35337
27996,28599,33654,35843,32281,31042,35759,25745,28597,32945,32234,36485
27581,28590,33023,34849,31777,30453,35880,24685,29328,33811,31999,37384
24755,28295,32735,36245,33663,30349,34430,24285,29196,34587,31605,36759
30079,29876,34789,36711,33493,30245,34590,22045,29586,32530,26510,34384
29145,29919,34707,37183,33211,30267,34037,22151,30852,31801,27514,33789
29229,29956,34657,37355,33472,30295,33928,22080,30557,31999,27705,33644
29235,29868,34539,37303,33470,30199,33733,21928,30318,31863,28045,33435
29274,29863,34396,37279,33417,30110,33450,21706,30381,31652,28156,33303
28544,29604,34165,37404,33584,29828,32894,21599,30425,31553,28142,33156
28361,29600,34162,37491,33655,29638,32873,21157,30583,31599,32164,32880
28185,29639,34163,37669,33657,29567,32975,21082,29975,31783,31455,32719
28292,29597,34175,37501,33538,29749,33106,21425,29883,31402,30781,33077
28524,29617,34074,37281,34260,29713,32579,18952,29564,32219,29688,33406
28502,29460,33930,37165,33119,29754,32523,21402,29869,31073,26086,33495
28210,29065,33564,36727,32807,29746,32528,21411,30062,30989,25739,33383
27090,28772,32750,36167,32564,29909,32838,21195,30294,31599,25935,35094
26727,27998,32103,34863,31764,29991,33533,22050,29951,31727,26683,35403
26294,28178,32105,34452,31850,30076,33581,21939,29843,31926,26750,36139
26177,28217,32205,34477,31889,30112,33916,21917,29799,32110,26578,36405
25834,28044,32373,34263,31719,29885,33731,21316,29977,31421,26390,36285
25769,27883,32839,34325,31659,30001,33384,20976,30296,30849,27457,35059
25916,27952,33107,34626,32036,29572,32048,21871,31094,31140,25785,33290
26428,28002,33384,34487,31958,29266,31375,22530,32611,32256,27547,31476
26789,27997,33203,34405,31910,29205,31390,22315,33016,32410,29023,30236
26899,27963,33032,34409,31930,28726,31503,23087,32345,33198,29202,29548
26513,28033,32958,34493,31932,28327,32160,24987,31875,32990,29392,29205
27733,28178,32730,34759,31892,28259,32372,24876,31582,32736,29238,28961
27993,28258,32798,34975,32194,28243,32844,24533,31186,32843,27820,29175
28309,28470,33205,35215,32391,28554,32889,24547,30843,32891,27628,29296
27650,28370,32937,35106,32277,28633,32669,24215,30907,32776,28220,29211
27392,28248,32880,34953,32039,28721,32502,25228,31290,32977,29005,29221
27427,28178,33149,34643,32001,28929,32351,26125,31743,33059,29253,29264
27654,28163,33705,34575,31980,29051,32498,26021,32156,33300,29082,29611
27768,28135,33971,34864,32201,29506,32983,24864,32822,32639,27034,30517
27665,28096,34400,35050,32214,29758,33689,24622,32389,32431,25446,31622
28058,28226,34557,35132,32178,29783,33617,24405,30972,31430,25192,34326
28295,28458,34611,35191,32007,29640,33510,24392,29965,32175,28479,36238
27787,28649,34334,35284,31970,29719,33395,23325,29096,32510,24700,36674
27061,28714,34124,35296,31913,29881,33398,23025,28312,32937,25015,37027
26738,28691,34076,35377,31934,30251,33305,22373,28017,33639,25540,37223
26496,28948,33895,35305,31947,30375,33420,22619,27955,33957,26793,37421
25240,28906,33644,35285,31909,30180,33560,22625,27931,33825,26337,37451
24014,28546,32655,34401,31789,29583,33819,23048,28283,33953,26717,37309
24076,28459,33893,36160,33403,30142,33159,20317,28473,34491,26419,36481
31229,29517,35449,36124,33033,29995,33091,19411,29491,33179,25847,34868
30136,29698,35265,36742,33069,30294,33186,19799,30097,32201,26482,34459
30172,29821,35205,36949,33469,30354,33185,19713,29712,32410,26787,34300
30180,29799,34932,36838,33459,30232,32944,19628,29314,32349,26826,34017
30204,29770,34680,36867,33250,30154,32704,19836,29433,32165,27191,33897
29878,29778,34581,36925,33325,30089,32655,19782,29445,32175,27325,33778
28708,29711,34474,36911,33319,30059,32509,19666,29495,31918,26978,33715
28897,29675,34302,36850,33184,30037,32344,19613,29485,31848,26597,33697
28886,29617,34346,36834,33224,30155,32404,19696,29530,31696,26006,33930
29086,29641,34240,36700,33072,30063,32366,19756,29425,31764,25507,33985
29026,29579,34194,36674,33049,30159,32443,19934,29379,31862,25441,33950
28947,29547,34191,36684,32925,30169,32468,19877,29319,31865,25370,33885
28820,29428,34092,36598,32868,30240,32401,19739,29301,31847,25420,33862
27927,28277,33074,35854,33685,30081,32245,16569,29086,32785,24999,34616
26875,28140,32739,35113,32189,30136,33051,21681,31029,31003,26356,35873
26516,28109,32751,34870,32180,30202,33193,20405,29372,32164,26579,35524
26465,27990,32684,34465,31902,29827,32889,20133,29354,31462,26537,35288
26788,27842,32558,34372,31786,29719,32472,19916,29779,30928,28022,34156
26918,27802,32734,34423,31827,29633,31707,19484,30597,31148,26643,31495
27169,27845,33156,34432,31929,29335,31292,24120,30190,32182,28451,30183
27005,27762,32972,35009,31921,29295,31567,27437,29641,32858,28500,29579
26773,27675,32925,35118,32127,29069,31965,31073,30584,32797,28571,29170
28019,27625,32804,34654,32125,28523,32944,31895,30303,33708,28418,28811
29874,28103,34131,34726,32103,28365,33514,31552,30167,34012,26223,28246
30996,28552,34908,35268,32337,28360,34585,31534,29600,34367,23830,28299
32200,29240,36927,35562,32378,28878,35045,32134,28912,34540,23489,28227
32429,29339,37726,35590,32297,28867,35489,32620,27346,36268,23180,28857
32558,29268,37517,34941,31750,28297,35632,33095,27000,36909,23396,28792
31777,28909,35647,33848,31807,28522,34655,33457,27326,35448,23980,28031
29343,28244,33795,33520,31682,28901,34436,33908,27218,35111,25753,28375
28722,28206,33315,33592,31808,29161,34164,34305,27355,34961,26524,28642
28382,28086,32607,33754,31958,29343,33851,34641,27418,34875,26826,28787
28221,28172,32520,33798,32061,29429,33780,34700,27486,34673,27268,29081
28196,28163,32403,34201,32116,29526,33908,34838,27439,34802,27414,29277
28053,28222,32546,33809,32592,29737,34440,34895,27487,34793,27485,29797
28214,28466,32580,33624,32753,29847,34867,34355,27210,34587,27809,31790
28242,28734,32781,33286,33044,30012,35687,33477,27196,33510,27382,33450
28354,29375,32916,33189,32900,29969,36195,32949,27030,33824,27069,34050
28334,29454,32906,33590,32684,29917,36440,32057,26567,32723,32587,35122
28108,29405,32410,33709,32204,29564,36729,30449,27013,33006,32014,35930
27516,29102,31877,33599,31912,28600,36520,28242,27891,33288,31868,36305
26220,29121,31893,34083,32181,28290,36475,26033,28895,33794,32085,36104
26763,28860,34046,36265,33809,28189,34893,19740,29861,33259,28464,34867
30408,29751,35546,37044,33592,27837,34930,20816,29395,33311,28320,33457
30593,29765,35404,37161,33648,27769,34671,20620,29435,33215,28639,32996
