s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12
24727,27415,30735,34970,32250,27262,32817,24170,37459,31479,23707,31340
25485,26253,30030,34232,31527,27491,31800,25095,38448,31783,23887,31165
24442,25919,29940,33460,31411,27436,31742,24405,38485,32186,24269,30945
24513,25720,30050,33720,30629,27960,32704,27960,38401,33072,22900,29866
24945,25983,29392,32991,30772,28637,33734,34133,38149,33091,22552,29952
25463,26218,30140,32867,31188,28879,33804,34785,38308,33401,23208,29928
25451,26192,30058,32763,31133,29105,33799,34724,38662,33277,23395,30015
25694,26259,30160,32821,31159,29314,33752,33733,38825,33197,23364,30100
24700,26434,30452,32804,31098,29382,33768,33280,39180,32997,23334,30252
24475,26293,30485,33137,31254,29277,34072,32441,39411,32830,26519,31674
25245,25776,29701,33905,31943,27750,33869,25925,38896,31352,21897,32724
24876,26776,29689,34423,31535,27455,34000,25157,38206,32865,21273,34092
26364,27138,30747,34912,31987,27832,33681,23467,38143,32219,20833,33238
25162,27530,30793,34956,31659,27877,33409,23978,37824,31683,21651,33040
25905,27622,30547,35064,31732,27894,33207,23516,37287,31315,21650,32204
26408,27589,31079,35141,31942,27743,32825,23848,36938,31018,22295,31420
27082,27463,31355,35009,31693,27688,32593,23724,36773,30954,22393,31270
24725,26043,31282,34118,31883,27820,31769,22320,36374,31872,23045,30554
24681,25867,29382,33266,30750,27974,32785,33559,37344,32771,24093,29909
25398,25915,29296,32355,30862,28320,33470,28721,37615,33042,24242,30100
25443,26030,29451,32620,30952,28311,33632,35381,37628,33186,22951,29910
25055,26099,29726,32413,30952,28297,33944,36210,37901,33306,22599,29972
24898,26179,30315,32364,31010,28410,34009,36485,38026,33319,22632,29985
24111,26327,30994,32405,31010,28582,34140,36864,38084,33333,26149,30106
24392,26408,31619,32319,30864,28692,34185,37132,38384,33211,23047,30099
25930,26165,30514,32694,31225,28297,33987,35563,38463,33149,23358,30632
24770,25769,29378,32894,31574,27919,34310,28345,38204,31788,21242,32597
24551,26270,29507,34362,30598,27585,34350,24585,37742,32536,21450,33412
24930,26880,30231,34449,31418,27503,34048,23947,37832,32209,21774,33060
24995,26954,30288,34449,31630,27469,33608,24055,37517,31144,22986,32093
24596,27290,30380,34851,31770,27491,33155,24105,36405,30807,22983,31692
25282,27450,31012,34895,31491,27439,33062,25202,36274,30793,22896,31078
25608,26822,30491,33844,31585,27740,31489,24995,35834,32195,23000,30591
24701,26141,29635,33210,30750,28248,33462,35949,37380,33053,23205,30472
25470,25914,29218,32439,30960,28460,33212,32691,38128,33630,23441,29949
25465,25984,29239,32690,30942,28589,33707,36931,38222,33910,23422,30057
26064,26306,30592,32541,30945,28437,33875,37158,38077,33971,26567,30286
25990,26302,30624,32249,30840,28351,33695,37174,38032,33822,23456,30199
26003,26328,30867,32209,30715,28489,33822,37170,37956,34123,23416,30210
26073,26361,31247,32200,30688,28666,33928,37259,38099,34110,23726,30171
26113,26171,30962,32569,30667,28569,33842,37235,38172,33922,23677,30636
25875,25951,31014,33014,31337,28131,34300,30210,37968,32357,20971,32572
25100,26438,30770,34435,30692,27885,34149,23909,37302,32499,20660,33137
26986,27046,31057,34642,30705,27915,33745,23786,37204,32849,22428,33360
27296,27406,31050,34978,31741,27669,33059,23900,37402,31728,23383,32590
26642,27895,31225,35189,31993,27840,33260,23578,36871,31360,22735,32301
27460,28059,31390,35375,32347,27981,33394,24643,36640,31257,22541,32085
27768,28018,31826,35442,32000,27620,33654,23614,35155,31841,21895,30600
30015,27920,32836,35655,33118,27787,34067,29207,34610,31390,21432,30120
27334,27139,30724,34807,30235,27892,34791,33559,37005,32095,21009,30517
26937,27160,30728,34615,31699,27937,34549,34320,37401,32155,21300,30478
26782,27170,31219,34530,31658,27864,34514,33598,37478,32107,21390,30472
27688,27133,31464,34463,31354,27865,34510,35654,37384,32153,21731,30465
